"date","WIREI-open","WIREI-close","WIREI-vol"
"12/31/1830",573.82,573.82,0
"12/31/1831",767.28,767.28,0
"12/31/1832",1185.35,1185.35,0
"12/31/1833",1378.27,1378.27,0
"12/31/1834",1408.87,1408.87,0
"12/31/1835",1679.39,1679.39,0
"12/31/1836",2198.01,2198.01,0
"12/31/1837",1344.38,1344.38,0
"12/31/1838",1141.37,1141.37,0
"12/31/1839",1021.38,1021.38,0
"12/31/1840",1338.15,1338.15,0
"12/31/1841",1520.74,1520.74,0
"12/31/1842",757.2,757.2,0
"12/31/1843",491.8,491.8,0
"12/31/1844",471.58,471.58,0
"12/31/1845",488.74,488.74,0
"12/31/1846",505.89,505.89,0
"12/31/1847",610.46,610.46,0
"12/31/1848",845.03,845.03,0
"12/31/1849",1014.85,1014.85,0
"12/31/1850",1124.83,1124.83,0
"12/31/1851",1242.88,1242.88,0
"12/31/1852",1505.22,1505.22,0
"12/31/1853",1687.81,1687.81,0
"12/31/1854",1470.81,1470.81,0
"12/31/1855",1108.39,1108.39,0
"12/31/1856",1032.21,1032.21,0
"12/31/1857",873.82,873.82,0
"12/31/1858",719.52,719.52,0
"12/31/1859",805.92,805.92,0
"12/31/1860",667.14,667.14,0
"12/31/1861",560.22,560.22,0
"12/31/1862",674.29,674.29,0
"12/31/1863",711.56,711.56,0
"12/31/1864",976.25,976.25,0
"12/31/1865",1204.99,1204.99,0
"12/31/1866",1521.76,1521.76,0
"12/31/1867",1663.6,1663.6,0
"12/31/1868",1385.13,1385.13,0
"12/31/1869",1259.21,1259.21,0
"12/31/1870",1211.99,1211.99,0
"12/31/1871",1278.58,1278.58,0
"12/31/1872",1146.31,1146.31,0
"12/31/1873",764.21,764.21,0
"12/31/1874",945.94,945.94,0
"12/31/1875",1081.08,1081.08,0
"12/31/1876",1140.69,1140.69,0
"12/31/1877",898.46,898.46,0
"12/31/1878",1491.68,1491.68,0
"12/31/1879",2408.92,2408.92,0
"12/31/1880",3790.88,3790.88,0
"12/31/1881",3283.27,3283.27,0
"12/31/1882",3508.99,3508.99,0
"12/31/1883",2545.64,2545.64,0
"12/31/1884",2242.59,2242.59,0
"12/31/1885",2090.76,2090.76,0
"12/31/1886",2400.89,2400.89,0
"12/31/1887",2077.69,2077.69,0
"12/31/1888",1634.91,1634.91,0
"12/31/1889",1796.92,1796.92,0
"12/31/1890",1899.6,1899.6,0
"12/31/1891",1780.88,1780.88,0
"12/31/1892",1790.01,1790.01,0
"12/31/1893",1772.96,1772.96,0
"12/31/1894",1927.14,1927.14,0
"12/31/1895",2275.57,2275.57,0
"12/31/1896",1922.22,1922.22,0
"12/31/1897",2115.47,2115.47,0
"12/31/1898",2616.35,2616.35,0
"12/31/1899",3645.07,3645.07,0
"12/31/1900",2572.38,2572.38,0
