,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"Survey Date","Livingston","Blue Chip","Combined"
"2014:2",2.3,"-2146826246",
"2014:3","-2146826246","-2146826246",
"2014:4",2.3,"-2146826246",
"2015:1","-2146826246","-2146826246",
"2015:2",2.2,"-2146826246",
"2015:3","-2146826246","-2146826246",
"2015:4",2.3,"-2146826246",
"2016:1","-2146826246","-2146826246",
"2016:2",2.3,"-2146826246",
"2016:3","-2146826246","-2146826246",
"2016:4",2.3,"-2146826246",
"2017:1","-2146826246","-2146826246",
"2017:2",2.32,"-2146826246",
"2017:3","-2146826246","-2146826246",
"2017:4",2.34,"-2146826246",
"2018:1","-2146826246","-2146826246",
"2018:2",2.28,"-2146826246",
"2018:3","-2146826246","-2146826246",
"2018:4",2.23,"-2146826246",
"2019:1","-2146826246","-2146826246",
"2019:2",2.26,"-2146826246",
"2019:3","-2146826246","-2146826246",
"2019:4",2.22,"-2146826246",
"2020:1","-2146826246","-2146826246",
