,,,,,,,,
,"Model implied real yields, AOT5",,,,,,,
"Dates (qrts)","3m","6m","1y","2y","3y","5y","7y","10y"
1971.3,0.0221147278905783,0.022351493479611,0.0228592474022732,0.0238677720083119,0.0247735323026749,0.0262480193649045,0.0273734192767444,0.0286241914031862
1971.4,0.0116031123043658,0.0123841345087169,0.0138367997614949,0.0163093163420764,0.0182886120843237,0.0212056165737935,0.0232373655167756,0.025346506333715
1972.1,0.0165667113982348,0.017264711047087,0.0185713917179453,0.0207962743367376,0.0225577525255328,0.0250876517095047,0.0267799466825487,0.028453013599437
1972.2,0.0170071573405622,0.0171901697145513,0.0177198913966462,0.0189917366497029,0.0202235139298473,0.022279211714695,0.0238603578174708,0.0256298919416091
1972.3,0.0232737072810193,0.0231239834272285,0.0230981383837457,0.0235476421677932,0.0241912444482702,0.0254552805774244,0.0265267786711852,0.0277949972404511
1972.4,0.0208978290849015,0.0210732822052978,0.0214451806775472,0.022206373018328,0.0229383532764531,0.0242549186976345,0.0253733179547212,0.0267329601140223
1973.1,0.0322416185222639,0.031476448331312,0.0302332286603767,0.0285597242875125,0.0275883830971578,0.0268041683558704,0.0267871945162985,0.0272887219231993
1973.2,0.0294091524037479,0.0291133567277114,0.0286391424166474,0.0280451653287992,0.0277729296029182,0.0277641781173938,0.0280883599968152,0.0287468963102345
1973.3,0.0217042341684736,0.0216179805179836,0.0212582397946235,0.0204381920006203,0.0198899182038934,0.0196794271206623,0.0201734950861376,0.0213926435321333
1973.4,0.0163234528013042,0.0164502370797859,0.0164405048944994,0.0161359248258961,0.0159670508122338,0.0163073726817543,0.0171994772820794,0.0188612591707988
1974.1,0.0151760294619852,0.0153401135956147,0.0152912297081356,0.0147518697196338,0.0143534054257321,0.0144247330014313,0.0152395655995154,0.0169566705060315
1974.2,0.00860766216495888,0.0093112895547132,0.010195322318452,0.0110738940643682,0.0116726440809601,0.0129761334925749,0.014456116929239,0.0166736452705206
1974.3,0.00370981203245392,0.00477368747558803,0.00636114372019729,0.00845074375662603,0.00996244331960556,0.0124138898859927,0.0144957563037791,0.0171265054956506
